run_id,placement_id,design_name,aspect_ratio,core_util,density,synth_strategy,io_mode,time_driven,routability_driven,cts_max_wire,cts_buf_dist,cts_cluster_size,cts_cluster_dia,skew_setup,skew_hold,setup_slack,hold_slack,setup_tns,hold_tns,setup_vio_count,hold_vio_count,power_total,wirelength,utilization,clock_buffers,clock_inverters,timing_repair_buffers,def_path,saif_path,timing_path_csv
0,ethmac_run_20260308_144706,ethmac,1.0,48,0.7,AREA 0,1,0,0,231,149,21,63,0.731003,-0.678568,2.19704,-0.16055,0,-293.017,0,9334,0.0693183,1091070,0.518054,788,272,529,../dataset_with_def/placement_files/ethmac_run_20260308_144706/ethmac.def,../dataset_with_def/placement_files/ethmac_run_20260308_144706/ethmac.saif,../dataset_with_def/placement_files/ethmac_run_20260308_144706/timing_paths.csv
1,ethmac_run_20260308_144706,ethmac,1.0,48,0.7,AREA 0,1,0,0,247,96,26,44,0.705139,-0.802236,2.19102,-0.167888,0,-340.18,0,9345,0.0815536,1115500,0.532995,1413,734,529,../dataset_with_def/placement_files/ethmac_run_20260308_144706/ethmac.def,../dataset_with_def/placement_files/ethmac_run_20260308_144706/ethmac.saif,../dataset_with_def/placement_files/ethmac_run_20260308_144706/timing_paths.csv
2,ethmac_run_20260308_144706,ethmac,1.0,48,0.7,AREA 0,1,0,0,135,109,18,56,1.16563,-1.09966,1.87861,-0.43212,0,-323.956,0,9382,0.0692699,1095270,0.51843,986,228,529,../dataset_with_def/placement_files/ethmac_run_20260308_144706/ethmac.def,../dataset_with_def/placement_files/ethmac_run_20260308_144706/ethmac.saif,../dataset_with_def/placement_files/ethmac_run_20260308_144706/timing_paths.csv
3,ethmac_run_20260308_144706,ethmac,1.0,48,0.7,AREA 0,1,0,0,151,133,20,55,1.08085,-1.05567,1.72757,-0.414214,0,-308.252,0,9351,0.0711966,1094900,0.520446,902,375,529,../dataset_with_def/placement_files/ethmac_run_20260308_144706/ethmac.def,../dataset_with_def/placement_files/ethmac_run_20260308_144706/ethmac.saif,../dataset_with_def/placement_files/ethmac_run_20260308_144706/timing_paths.csv
4,ethmac_run_20260308_144706,ethmac,1.0,48,0.7,AREA 0,1,0,0,207,134,28,65,0.816288,-0.696937,2.14449,-0.156875,0,-242.351,0,9310,0.0693419,1089700,0.518218,699,344,529,../dataset_with_def/placement_files/ethmac_run_20260308_144706/ethmac.def,../dataset_with_def/placement_files/ethmac_run_20260308_144706/ethmac.saif,../dataset_with_def/placement_files/ethmac_run_20260308_144706/timing_paths.csv
5,ethmac_run_20260308_144706,ethmac,1.0,48,0.7,AREA 0,1,0,0,258,73,15,51,0.740046,-0.797696,2.21202,-0.174065,0,-341.702,0,9352,0.0715885,1097950,0.521221,1088,271,529,../dataset_with_def/placement_files/ethmac_run_20260308_144706/ethmac.def,../dataset_with_def/placement_files/ethmac_run_20260308_144706/ethmac.saif,../dataset_with_def/placement_files/ethmac_run_20260308_144706/timing_paths.csv
6,ethmac_run_20260308_144706,ethmac,1.0,48,0.7,AREA 0,1,0,0,248,126,16,41,0.709603,-0.809176,2.17176,-0.18784,0,-355.63,0,9353,0.0841989,1118730,0.536147,1522,890,529,../dataset_with_def/placement_files/ethmac_run_20260308_144706/ethmac.def,../dataset_with_def/placement_files/ethmac_run_20260308_144706/ethmac.saif,../dataset_with_def/placement_files/ethmac_run_20260308_144706/timing_paths.csv
7,ethmac_run_20260308_144706,ethmac,1.0,48,0.7,AREA 0,1,0,0,184,113,28,61,0.974509,-0.955664,2.03504,-0.199516,0,-250.496,0,9315,0.0690415,1088060,0.518064,717,401,529,../dataset_with_def/placement_files/ethmac_run_20260308_144706/ethmac.def,../dataset_with_def/placement_files/ethmac_run_20260308_144706/ethmac.saif,../dataset_with_def/placement_files/ethmac_run_20260308_144706/timing_paths.csv
8,ethmac_run_20260308_144706,ethmac,1.0,48,0.7,AREA 0,1,0,0,220,106,29,41,0.704476,-0.794268,2.17639,-0.18336,0,-354.437,0,9351,0.0847032,1120220,0.536849,1591,860,529,../dataset_with_def/placement_files/ethmac_run_20260308_144706/ethmac.def,../dataset_with_def/placement_files/ethmac_run_20260308_144706/ethmac.saif,../dataset_with_def/placement_files/ethmac_run_20260308_144706/timing_paths.csv
9,ethmac_run_20260308_144706,ethmac,1.0,48,0.7,AREA 0,1,0,0,255,82,27,40,0.735149,-0.770936,2.26013,-0.192156,0,-358.905,0,9350,0.0846045,1121780,0.536825,1626,918,529,../dataset_with_def/placement_files/ethmac_run_20260308_144706/ethmac.def,../dataset_with_def/placement_files/ethmac_run_20260308_144706/ethmac.saif,../dataset_with_def/placement_files/ethmac_run_20260308_144706/timing_paths.csv
10,ethmac_run_20260308_145926,ethmac,1.4,43,0.55,DELAY 4,0,1,0,161,85,16,39,0.790616,-0.716062,1.52315,-0.188747,0,-5.41487,0,57,0.0847811,1284750,0.48464,1629,830,436,../dataset_with_def/placement_files/ethmac_run_20260308_145926/ethmac.def,../dataset_with_def/placement_files/ethmac_run_20260308_145926/ethmac.saif,../dataset_with_def/placement_files/ethmac_run_20260308_145926/timing_paths.csv
11,ethmac_run_20260308_145926,ethmac,1.4,43,0.55,DELAY 4,0,1,0,264,113,25,58,0.680557,-0.706952,1.50835,-0.174241,0,-4.73329,0,54,0.0717104,1262370,0.471215,777,411,436,../dataset_with_def/placement_files/ethmac_run_20260308_145926/ethmac.def,../dataset_with_def/placement_files/ethmac_run_20260308_145926/ethmac.saif,../dataset_with_def/placement_files/ethmac_run_20260308_145926/timing_paths.csv
12,ethmac_run_20260308_145926,ethmac,1.4,43,0.55,DELAY 4,0,1,0,257,150,29,56,0.694821,-0.725447,1.54306,-0.177798,0,-4.76777,0,56,0.0713547,1258380,0.470885,716,456,436,../dataset_with_def/placement_files/ethmac_run_20260308_145926/ethmac.def,../dataset_with_def/placement_files/ethmac_run_20260308_145926/ethmac.saif,../dataset_with_def/placement_files/ethmac_run_20260308_145926/timing_paths.csv
13,ethmac_run_20260308_145926,ethmac,1.4,43,0.55,DELAY 4,0,1,0,257,90,16,69,0.700419,-0.694878,1.50551,-0.168168,0,-4.76168,0,57,0.0681686,1263920,0.46778,891,44,436,../dataset_with_def/placement_files/ethmac_run_20260308_145926/ethmac.def,../dataset_with_def/placement_files/ethmac_run_20260308_145926/ethmac.saif,../dataset_with_def/placement_files/ethmac_run_20260308_145926/timing_paths.csv
14,ethmac_run_20260308_145926,ethmac,1.4,43,0.55,DELAY 4,0,1,0,196,112,26,56,0.866394,-0.89995,1.50772,-0.183123,0,-5.64827,0,59,0.0725333,1263150,0.471933,785,436,436,../dataset_with_def/placement_files/ethmac_run_20260308_145926/ethmac.def,../dataset_with_def/placement_files/ethmac_run_20260308_145926/ethmac.saif,../dataset_with_def/placement_files/ethmac_run_20260308_145926/timing_paths.csv
15,ethmac_run_20260308_145926,ethmac,1.4,43,0.55,DELAY 4,0,1,0,139,119,18,60,0.879314,-1.00919,1.52036,-0.220377,0,-6.62044,0,77,0.0701445,1264860,0.469608,913,152,436,../dataset_with_def/placement_files/ethmac_run_20260308_145926/ethmac.def,../dataset_with_def/placement_files/ethmac_run_20260308_145926/ethmac.saif,../dataset_with_def/placement_files/ethmac_run_20260308_145926/timing_paths.csv
16,ethmac_run_20260308_145926,ethmac,1.4,43,0.55,DELAY 4,0,1,0,205,150,20,42,0.680902,-0.699318,1.51104,-0.310435,0,-5.33368,0,56,0.0821964,1279070,0.481775,1365,736,436,../dataset_with_def/placement_files/ethmac_run_20260308_145926/ethmac.def,../dataset_with_def/placement_files/ethmac_run_20260308_145926/ethmac.saif,../dataset_with_def/placement_files/ethmac_run_20260308_145926/timing_paths.csv
17,ethmac_run_20260308_145926,ethmac,1.4,43,0.55,DELAY 4,0,1,0,137,142,13,53,0.980762,-0.970599,1.49135,-0.320985,0,-7.21956,0,71,0.070978,1271550,0.470542,1094,66,436,../dataset_with_def/placement_files/ethmac_run_20260308_145926/ethmac.def,../dataset_with_def/placement_files/ethmac_run_20260308_145926/ethmac.saif,../dataset_with_def/placement_files/ethmac_run_20260308_145926/timing_paths.csv
18,ethmac_run_20260308_145926,ethmac,1.4,43,0.55,DELAY 4,0,1,0,266,122,29,68,0.598557,-0.608571,1.52609,-0.162742,0,-4.24539,0,51,0.0676862,1249310,0.467264,577,295,436,../dataset_with_def/placement_files/ethmac_run_20260308_145926/ethmac.def,../dataset_with_def/placement_files/ethmac_run_20260308_145926/ethmac.saif,../dataset_with_def/placement_files/ethmac_run_20260308_145926/timing_paths.csv
19,ethmac_run_20260308_145926,ethmac,1.4,43,0.55,DELAY 4,0,1,0,194,108,25,70,0.542123,-0.689821,1.5192,-0.163203,0,-4.38603,0,51,0.0684741,1257690,0.467871,696,189,436,../dataset_with_def/placement_files/ethmac_run_20260308_145926/ethmac.def,../dataset_with_def/placement_files/ethmac_run_20260308_145926/ethmac.saif,../dataset_with_def/placement_files/ethmac_run_20260308_145926/timing_paths.csv
